date,ward_id,supply_hours,pressure,demand,supply,complaints,pipe_breaks,tanker,scarcity
07/02/2024,W01,8.5,35.3,19.17,13.58,2.8,1,55,0
08/02/2024,W01,8.6,43.3,19.17,13.74,2.72,0,54,0
09/02/2024,W01,8.2,42,19.17,13.1,3.04,0,60,1
10/02/2024,W01,6.3,43,19.17,10.06,4.56,1,91,1
11/02/2024,W01,5,37.2,19.17,7.99,5.6,1,111,1
12/02/2024,W01,8.4,31.8,19.17,13.42,2.88,0,57,0
13/02/2024,W01,7.8,37.3,19.17,12.46,3.36,2,67,1
14/02/2024,W01,8.1,38.3,19.17,12.94,3.12,1,62,1
15/02/2024,W01,11.4,38.7,19.17,18.21,0.48,2,9,0
16/02/2024,W01,7.3,44.3,19.17,11.66,3.76,2,75,1
17/02/2024,W01,8,33.9,19.17,12.78,3.2,0,63,1
18/02/2024,W01,7.9,36.4,19.17,12.62,3.28,0,65,1
19/02/2024,W01,8.1,40.7,19.17,12.94,3.12,1,62,1
20/02/2024,W01,8.9,34.3,19.17,14.22,2.48,2,49,0
21/02/2024,W01,9.7,41.7,19.17,15.5,1.84,2,36,0
22/02/2024,W01,8.9,38.8,19.17,14.22,2.48,1,49,0
23/02/2024,W01,7.6,35.8,19.17,12.14,3.52,0,70,1
24/02/2024,W01,7.9,40.9,19.17,12.62,3.28,1,65,1
25/02/2024,W01,8,41.7,19.17,12.78,3.2,2,63,1
26/02/2024,W01,8.1,42.8,19.17,12.94,3.12,0,62,1
27/02/2024,W01,9.1,39.9,19.17,14.54,2.32,2,46,0
28/02/2024,W01,9.2,32.9,19.17,14.7,2.24,1,44,0
29/02/2024,W01,12.3,37.4,19.17,19.65,0,2,0,0
01/03/2024,W01,12,47,19.17,19.17,0,1,0,0
02/03/2024,W01,12.2,45.6,19.17,19.49,0,1,0,0
03/03/2024,W01,9.7,35.8,19.17,15.5,1.84,0,36,0
04/03/2024,W01,11.7,47.1,19.17,18.69,0.24,1,4,0
05/03/2024,W01,10.7,41.2,19.17,17.09,1.04,1,20,0
06/03/2024,W01,9.6,37.4,19.17,15.34,1.92,2,38,0
07/03/2024,W01,11.8,40.1,19.17,18.85,0.16,1,3,0
08/03/2024,W01,11.2,36.6,19.17,17.89,0.64,0,12,0
09/03/2024,W01,9.7,30.7,19.17,15.5,1.84,2,36,0
10/03/2024,W01,10.9,40.9,19.17,17.41,0.88,1,17,0
11/03/2024,W01,10,42.2,19.17,15.98,1.6,2,31,0
12/03/2024,W01,7.3,42.6,19.17,11.66,3.76,1,75,1
13/03/2024,W01,4.6,42,19.17,7.35,5.92,1,118,1
14/03/2024,W01,9.3,34.3,19.17,14.86,2.16,1,43,0
15/03/2024,W01,8.9,33.5,19.17,14.22,2.48,0,49,0
16/03/2024,W01,8.6,44.5,19.17,13.74,2.72,1,54,0
17/03/2024,W01,6.7,40,19.17,10.7,4.24,0,84,1
18/03/2024,W01,10.1,31.1,19.17,16.13,1.52,0,30,0
19/03/2024,W01,8.4,41.2,19.17,13.42,2.88,1,57,0
20/03/2024,W01,8,45.1,19.17,12.78,3.2,1,63,1
21/03/2024,W01,8.3,41.3,19.17,13.26,2.96,2,59,1
22/03/2024,W01,11,44.2,19.17,17.57,0.8,3,16,0
23/03/2024,W01,11.9,42.5,19.17,19.01,0.08,1,1,0
24/03/2024,W01,8.8,36.2,19.17,14.06,2.56,1,51,0
25/03/2024,W01,9.3,37.2,19.17,14.86,2.16,1,43,0
26/03/2024,W01,6.4,29.8,19.17,10.22,4.48,0,89,1
27/03/2024,W01,7.2,37.5,19.17,11.5,3.84,4,76,1
28/03/2024,W01,11.2,58,19.17,17.89,0.64,1,12,0
29/03/2024,W01,7.7,35.3,19.17,12.3,3.44,0,68,1
30/03/2024,W01,7.1,32.7,19.17,11.34,3.92,0,78,1
31/03/2024,W01,9.3,41.7,19.17,14.86,2.16,1,43,0
01/04/2024,W01,9,39.5,19.17,14.38,2.4,2,47,0
02/04/2024,W01,9.4,32,19.17,15.02,2.08,1,41,0
03/04/2024,W01,10.6,39.6,19.17,16.93,1.12,1,22,0
04/04/2024,W01,9,44.4,19.17,14.38,2.4,1,47,0
05/04/2024,W01,8.5,36.3,19.17,13.58,2.8,0,55,0
06/04/2024,W01,7.8,43.1,19.17,12.46,3.36,0,67,1
07/04/2024,W01,9.7,45,19.17,15.5,1.84,2,36,0
08/04/2024,W01,11.4,38.8,19.17,18.21,0.48,1,9,0
09/04/2024,W01,9,33.5,19.17,14.38,2.4,1,47,0
10/04/2024,W01,8.3,39,19.17,13.26,2.96,2,59,1
11/04/2024,W01,8.6,29.5,19.17,13.74,2.72,3,54,0
12/04/2024,W01,9.7,38.9,19.17,15.5,1.84,0,36,0
13/04/2024,W01,10.2,40.6,19.17,16.29,1.44,0,28,0
14/04/2024,W01,9.4,35,19.17,15.02,2.08,3,41,0
15/04/2024,W01,9.5,32.3,19.17,15.18,2,2,39,0
16/04/2024,W01,9.6,38.8,19.17,15.34,1.92,1,38,0
17/04/2024,W01,5.9,33.2,19.17,9.43,4.88,2,97,1
18/04/2024,W01,8.3,43,19.17,13.26,2.96,2,59,1
19/04/2024,W01,10.4,38.7,19.17,16.61,1.28,0,25,0
20/04/2024,W01,7.6,40.6,19.17,12.14,3.52,0,70,1
21/04/2024,W01,9.8,35.2,19.17,15.66,1.76,0,35,0
22/04/2024,W01,8.5,44.6,19.17,13.58,2.8,2,55,0
23/04/2024,W01,10.4,35.3,19.17,16.61,1.28,1,25,0
24/04/2024,W01,8.2,37.5,19.17,13.1,3.04,1,60,1
25/04/2024,W01,9,43.9,19.17,14.38,2.4,2,47,0
26/04/2024,W01,8.3,35.4,19.17,13.26,2.96,1,59,1
27/04/2024,W01,9.4,43.9,19.17,15.02,2.08,2,41,0
28/04/2024,W01,4.8,35.9,19.17,7.67,5.76,0,115,1
29/04/2024,W01,7.1,33.1,19.17,11.34,3.92,4,78,1
30/04/2024,W01,9.2,33,19.17,14.7,2.24,1,44,0
01/05/2024,W01,8.6,50.9,19.17,13.74,2.72,2,54,0
02/05/2024,W01,8.9,41.4,19.17,14.22,2.48,1,49,0
03/05/2024,W01,8.1,39.8,19.17,12.94,3.12,2,62,1
04/05/2024,W01,8.7,44.7,19.17,13.9,2.64,1,52,0
05/05/2024,W01,6.3,41.1,19.17,10.06,4.56,0,91,1
06/05/2024,W01,10.2,38.1,19.17,16.29,1.44,1,28,0
07/05/2024,W01,9.3,24.8,19.17,14.86,2.16,3,43,0
08/05/2024,W01,8.6,46.5,19.17,13.74,2.72,1,54,0
09/05/2024,W01,11.7,29.6,19.17,18.69,0.24,0,4,0
10/05/2024,W01,8.5,41.3,19.17,13.58,2.8,1,55,0
11/05/2024,W01,9,43.6,19.17,14.38,2.4,0,47,0
12/05/2024,W01,8.6,34.9,19.17,13.74,2.72,0,54,0
13/05/2024,W01,6,29.8,19.17,9.59,4.8,1,95,1
14/05/2024,W01,10.6,32.4,19.17,16.93,1.12,0,22,0
15/05/2024,W01,9.6,34.8,19.17,15.34,1.92,1,38,0
16/05/2024,W01,9.1,42.2,19.17,14.54,2.32,3,46,0
17/05/2024,W01,9.6,44.3,19.17,15.34,1.92,1,38,0
18/05/2024,W01,7.6,39.4,19.17,12.14,3.52,0,70,1
19/05/2024,W01,7.2,39.5,19.17,11.5,3.84,0,76,1
20/05/2024,W01,8.9,42.9,19.17,14.22,2.48,1,49,0
21/05/2024,W01,7.3,45,19.17,11.66,3.76,2,75,1
22/05/2024,W01,9.4,39.3,19.17,15.02,2.08,1,41,0
23/05/2024,W01,6.8,39.8,19.17,10.86,4.16,1,83,1
24/05/2024,W01,9.1,44.9,19.17,14.54,2.32,2,46,0
25/05/2024,W01,8.4,42.3,19.17,13.42,2.88,1,57,0
26/05/2024,W01,10.4,32.7,19.17,16.61,1.28,1,25,0
27/05/2024,W01,8.7,33.6,19.17,13.9,2.64,0,52,0
28/05/2024,W01,8.8,40.7,19.17,14.06,2.56,0,51,0
29/05/2024,W01,8.5,29,19.17,13.58,2.8,1,55,0
30/05/2024,W01,9.8,40,19.17,15.66,1.76,0,35,0
31/05/2024,W01,8.7,39.8,19.17,13.9,2.64,2,52,0
01/06/2024,W01,10.8,35.2,19.17,17.25,0.96,0,19,0
02/06/2024,W01,11,44.8,19.17,17.57,0.8,1,16,0
03/06/2024,W01,9.3,37.2,19.17,14.86,2.16,1,43,0
04/06/2024,W01,10.5,37.4,19.17,16.77,1.2,1,24,0
05/06/2024,W01,8.2,53.1,19.17,13.1,3.04,1,60,1
06/06/2024,W01,10.2,38.7,19.17,16.29,1.44,0,28,0
07/06/2024,W01,8.8,36.7,19.17,14.06,2.56,1,51,0
08/06/2024,W01,6.7,39.6,19.17,10.7,4.24,2,84,1
09/06/2024,W01,9.2,32.2,19.17,14.7,2.24,1,44,0
10/06/2024,W01,10.4,38.2,19.17,16.61,1.28,2,25,0
11/06/2024,W01,7.7,40.7,19.17,12.3,3.44,2,68,1
12/06/2024,W01,10.4,43,19.17,16.61,1.28,1,25,0
13/06/2024,W01,11.6,32.6,19.17,18.53,0.32,2,6,0
14/06/2024,W01,8.4,32.9,19.17,13.42,2.88,1,57,0
15/06/2024,W01,8.6,35.3,19.17,13.74,2.72,2,54,0
16/06/2024,W01,11.4,44.7,19.17,18.21,0.48,0,9,0
17/06/2024,W01,8.2,48.4,19.17,13.1,3.04,0,60,1
18/06/2024,W01,11.2,32.1,19.17,17.89,0.64,1,12,0
19/06/2024,W01,8.7,44.3,19.17,13.9,2.64,0,52,0
20/06/2024,W01,9.1,38.7,19.17,14.54,2.32,1,46,0
21/06/2024,W01,8.1,38,19.17,12.94,3.12,0,62,1
22/06/2024,W01,8.2,39.6,19.17,13.1,3.04,0,60,1
23/06/2024,W01,10,40.3,19.17,15.98,1.6,1,31,0
24/06/2024,W01,10.7,42.2,19.17,17.09,1.04,1,20,0
25/06/2024,W01,10.1,48.5,19.17,16.13,1.52,3,30,0
26/06/2024,W01,7.5,32.8,19.17,11.98,3.6,3,71,1
27/06/2024,W01,8.3,42,19.17,13.26,2.96,1,59,1
28/06/2024,W01,8.2,42.5,19.17,13.1,3.04,2,60,1
01/01/2024,W02,11.5,49,26.73,25.62,0.4,2,11,0
02/01/2024,W02,9.1,44.1,26.73,20.27,2.32,0,64,0
03/01/2024,W02,11.6,44.8,26.73,25.84,0.32,1,8,0
04/01/2024,W02,12.3,48.2,26.73,27.4,0,1,0,0
05/01/2024,W02,11.9,56,26.73,26.51,0.08,0,2,0
06/01/2024,W02,11.9,51.8,26.73,26.51,0.08,1,2,0
07/01/2024,W02,9.6,50.7,26.73,21.38,1.92,0,53,0
08/01/2024,W02,12.7,52.9,26.73,28.29,0,0,0,0
09/01/2024,W02,10.8,59.5,26.73,24.06,0.96,1,26,0
10/01/2024,W02,11.6,44.2,26.73,25.84,0.32,0,8,0
11/01/2024,W02,12.8,51.8,26.73,28.51,0,0,0,0
12/01/2024,W02,8.4,55,26.73,18.71,2.88,0,80,1
13/01/2024,W02,12.7,44.2,26.73,28.29,0,1,0,0
14/01/2024,W02,9,44.8,26.73,20.05,2.4,0,66,0
15/01/2024,W02,10.5,53.3,26.73,23.39,1.2,2,33,0
16/01/2024,W02,11.2,50.1,26.73,24.95,0.64,0,17,0
17/01/2024,W02,10.6,51.6,26.73,23.61,1.12,0,31,0
18/01/2024,W02,12.6,50.5,26.73,28.07,0,2,0,0
19/01/2024,W02,9.6,44.8,26.73,21.38,1.92,0,53,0
20/01/2024,W02,12.1,47.3,26.73,26.95,0,1,0,0
21/01/2024,W02,10.9,42,26.73,24.28,0.88,0,24,0
22/01/2024,W02,12.3,39.7,26.73,27.4,0,1,0,0
23/01/2024,W02,11.5,44.3,26.73,25.62,0.4,0,11,0
24/01/2024,W02,11.2,48.5,26.73,24.95,0.64,1,17,0
25/01/2024,W02,11.7,52.7,26.73,26.06,0.24,2,6,0
26/01/2024,W02,8,50.4,26.73,17.82,3.2,0,89,1
27/01/2024,W02,9.1,47.2,26.73,20.27,2.32,1,64,0
28/01/2024,W02,11.3,49.1,26.73,25.17,0.56,0,15,0
29/01/2024,W02,12.3,53.4,26.73,27.4,0,0,0,0
30/01/2024,W02,14,46.2,26.73,31.19,0,0,0,0
31/01/2024,W02,9,55.7,26.73,20.05,2.4,0,66,0
01/02/2024,W02,11.4,50.1,26.73,25.39,0.48,0,13,0
02/02/2024,W02,10,45.1,26.73,22.28,1.6,0,44,0
03/02/2024,W02,10.4,47.1,26.73,23.17,1.28,1,35,0
04/02/2024,W02,10.4,51.1,26.73,23.17,1.28,0,35,0
05/02/2024,W02,11.9,55.8,26.73,26.51,0.08,0,2,0
06/02/2024,W02,9.7,51.6,26.73,21.61,1.84,2,51,0
07/02/2024,W02,9.4,44.7,26.73,20.94,2.08,0,57,0
08/02/2024,W02,12.3,48.3,26.73,27.4,0,1,0,0
09/02/2024,W02,13.1,50.3,26.73,29.18,0,0,0,0
10/02/2024,W02,13.1,50.2,26.73,29.18,0,0,0,0
11/02/2024,W02,11.2,50.2,26.73,24.95,0.64,0,17,0
12/02/2024,W02,11.2,46.8,26.73,24.95,0.64,2,17,0
13/02/2024,W02,10.4,44.7,26.73,23.17,1.28,0,35,0
14/02/2024,W02,9.5,51.8,26.73,21.16,2,0,55,0
15/02/2024,W02,9,45.2,26.73,20.05,2.4,0,66,0
16/02/2024,W02,9.8,58.2,26.73,21.83,1.76,0,49,0
17/02/2024,W02,12,51.7,26.73,26.73,0,0,0,0
18/02/2024,W02,8.4,55.7,26.73,18.71,2.88,1,80,1
19/02/2024,W02,11.7,45.1,26.73,26.06,0.24,0,6,0
20/02/2024,W02,11.6,51.6,26.73,25.84,0.32,1,8,0
21/02/2024,W02,11.9,51.4,26.73,26.51,0.08,0,2,0
22/02/2024,W02,10.3,44.4,26.73,22.94,1.36,0,37,0
23/02/2024,W02,9.6,46.2,26.73,21.38,1.92,0,53,0
24/02/2024,W02,12.3,47.5,26.73,27.4,0,0,0,0
25/02/2024,W02,8.4,50.1,26.73,18.71,2.88,1,80,1
26/02/2024,W02,12,53.1,26.73,26.73,0,1,0,0
27/02/2024,W02,9.7,53.4,26.73,21.61,1.84,1,51,0
28/02/2024,W02,10.3,42.6,26.73,22.94,1.36,0,37,0
29/02/2024,W02,10.6,44.7,26.73,23.61,1.12,0,31,0
01/03/2024,W02,11.1,48.9,26.73,24.73,0.72,1,20,0
02/03/2024,W02,11.5,54.3,26.73,25.62,0.4,1,11,0
03/03/2024,W02,8.6,54.8,26.73,19.16,2.72,0,75,0
04/03/2024,W02,10.5,43.5,26.73,23.39,1.2,4,33,0
05/03/2024,W02,10.8,52.4,26.73,24.06,0.96,0,26,0
06/03/2024,W02,11.1,50.6,26.73,24.73,0.72,0,20,0
07/03/2024,W02,13.1,43.6,26.73,29.18,0,0,0,0
08/03/2024,W02,8.4,52.9,26.73,18.71,2.88,2,80,1
09/03/2024,W02,9.7,44.5,26.73,21.61,1.84,1,51,0
10/03/2024,W02,12.1,41.7,26.73,26.95,0,1,0,0
11/03/2024,W02,12.1,43.4,26.73,26.95,0,0,0,0
12/03/2024,W02,7.3,50.5,26.73,16.26,3.76,1,104,1
13/03/2024,W02,10,52.5,26.73,22.28,1.6,0,44,0
14/03/2024,W02,10.3,51,26.73,22.94,1.36,0,37,0
15/03/2024,W02,12.1,45.5,26.73,26.95,0,0,0,0
16/03/2024,W02,8.8,48.4,26.73,19.6,2.56,0,71,0
17/03/2024,W02,10,48.7,26.73,22.28,1.6,0,44,0
18/03/2024,W02,10.6,43.8,26.73,23.61,1.12,1,31,0
19/03/2024,W02,9.5,49.8,26.73,21.16,2,1,55,0
20/03/2024,W02,11.7,47.5,26.73,26.06,0.24,1,6,0
21/03/2024,W02,8.6,54.3,26.73,19.16,2.72,0,75,0
22/03/2024,W02,10.8,44.1,26.73,24.06,0.96,0,26,0
23/03/2024,W02,10.5,43,26.73,23.39,1.2,0,33,0
24/03/2024,W02,9.6,42,26.73,21.38,1.92,0,53,0
25/03/2024,W02,10.6,44,26.73,23.61,1.12,1,31,0
26/03/2024,W02,8.8,52.7,26.73,19.6,2.56,2,71,0
27/03/2024,W02,10.7,41.2,26.73,23.83,1.04,1,29,0
28/03/2024,W02,10.8,46.2,26.73,24.06,0.96,0,26,0
29/03/2024,W02,10.5,48.5,26.73,23.39,1.2,3,33,0
30/03/2024,W02,11.2,38.8,26.73,24.95,0.64,0,17,0
31/03/2024,W02,10.1,48.6,26.73,22.5,1.52,0,42,0
01/04/2024,W02,9.6,58.5,26.73,21.38,1.92,1,53,0
02/04/2024,W02,11.6,50.5,26.73,25.84,0.32,1,8,0
03/04/2024,W02,10,49.2,26.73,22.28,1.6,0,44,0
04/04/2024,W02,9.3,45.7,26.73,20.72,2.16,0,60,0
05/04/2024,W02,9.3,40.1,26.73,20.72,2.16,1,60,0
06/04/2024,W02,10.3,41.9,26.73,22.94,1.36,1,37,0
07/04/2024,W02,11,52.2,26.73,24.5,0.8,0,22,0
08/04/2024,W02,12.6,43.2,26.73,28.07,0,0,0,0
09/04/2024,W02,11.5,51.7,26.73,25.62,0.4,1,11,0
10/04/2024,W02,10.1,47.5,26.73,22.5,1.52,0,42,0
11/04/2024,W02,9.3,43,26.73,20.72,2.16,0,60,0
12/04/2024,W02,10.9,49.9,26.73,24.28,0.88,0,24,0
13/04/2024,W02,9.5,52.5,26.73,21.16,2,0,55,0
14/04/2024,W02,9.5,52.9,26.73,21.16,2,2,55,0
15/04/2024,W02,9.6,51.7,26.73,21.38,1.92,1,53,0
16/04/2024,W02,10.3,41.8,26.73,22.94,1.36,0,37,0
17/04/2024,W02,12.1,43.1,26.73,26.95,0,0,0,0
18/04/2024,W02,12,48.8,26.73,26.73,0,2,0,0
19/04/2024,W02,11.3,51.9,26.73,25.17,0.56,0,15,0
20/04/2024,W02,11.6,43.4,26.73,25.84,0.32,0,8,0
21/04/2024,W02,11.5,46.5,26.73,25.62,0.4,0,11,0
22/04/2024,W02,9.3,47.9,26.73,20.72,2.16,0,60,0
23/04/2024,W02,12.7,51,26.73,28.29,0,0,0,0
24/04/2024,W02,9.9,54.1,26.73,22.05,1.68,1,46,0
25/04/2024,W02,11.8,53.4,26.73,26.28,0.16,1,4,0
26/04/2024,W02,9.2,42.7,26.73,20.49,2.24,0,62,0
27/04/2024,W02,11.4,50.9,26.73,25.39,0.48,2,13,0
28/04/2024,W02,11.4,46.5,26.73,25.39,0.48,1,13,0
29/04/2024,W02,11.4,39.4,26.73,25.39,0.48,0,13,0
30/04/2024,W02,11.8,48.2,26.73,26.28,0.16,1,4,0
01/05/2024,W02,10,53.6,26.73,22.28,1.6,0,44,0
02/05/2024,W02,8.3,53,26.73,18.49,2.96,1,82,1
03/05/2024,W02,12.2,43,26.73,27.18,0,0,0,0
04/05/2024,W02,11.8,44.9,26.73,26.28,0.16,1,4,0
05/05/2024,W02,13.7,42.7,26.73,30.52,0,0,0,0
06/05/2024,W02,10.9,44.9,26.73,24.28,0.88,1,24,0
07/05/2024,W02,12,49.8,26.73,26.73,0,0,0,0
08/05/2024,W02,13.8,43,26.73,30.74,0,0,0,0
09/05/2024,W02,8.2,57.4,26.73,18.27,3.04,0,84,1
10/05/2024,W02,10.2,54.6,26.73,22.72,1.44,1,40,0
11/05/2024,W02,11.5,52.8,26.73,25.62,0.4,0,11,0
12/05/2024,W02,9.4,41.8,26.73,20.94,2.08,0,57,0
13/05/2024,W02,10.4,49.6,26.73,23.17,1.28,0,35,0
14/05/2024,W02,7.5,49.4,26.73,16.71,3.6,0,100,1
15/05/2024,W02,10.9,40.3,26.73,24.28,0.88,0,24,0
16/05/2024,W02,11.6,46.3,26.73,25.84,0.32,1,8,0
17/05/2024,W02,10.4,47,26.73,23.17,1.28,1,35,0
18/05/2024,W02,11.9,51.4,26.73,26.51,0.08,1,2,0
19/05/2024,W02,11.3,49.2,26.73,25.17,0.56,0,15,0
20/05/2024,W02,12.9,54.2,26.73,28.73,0,0,0,0
21/05/2024,W02,13.5,52.4,26.73,30.07,0,0,0,0
22/05/2024,W02,9.1,50.8,26.73,20.27,2.32,0,64,0
23/05/2024,W02,8.2,39.8,26.73,18.27,3.04,1,84,1
24/05/2024,W02,8.3,44.9,26.73,18.49,2.96,3,82,1
25/05/2024,W02,10.8,49.3,26.73,24.06,0.96,1,26,0
26/05/2024,W02,11.2,46.8,26.73,24.95,0.64,1,17,0
27/05/2024,W02,11.4,56.5,26.73,25.39,0.48,1,13,0
28/05/2024,W02,10.2,48.2,26.73,22.72,1.44,0,40,0
29/05/2024,W02,11.4,48.3,26.73,25.39,0.48,0,13,0
30/05/2024,W02,11.1,50.9,26.73,24.73,0.72,1,20,0
31/05/2024,W02,8.3,54.5,26.73,18.49,2.96,1,82,1
01/06/2024,W02,13.5,52.3,26.73,30.07,0,2,0,0
02/06/2024,W02,8.4,55.9,26.73,18.71,2.88,0,80,1
03/06/2024,W02,12.4,52.3,26.73,27.62,0,0,0,0
04/06/2024,W02,11.6,51.5,26.73,25.84,0.32,1,8,0
05/06/2024,W02,12.1,49.9,26.73,26.95,0,1,0,0
06/06/2024,W02,8.8,45.7,26.73,19.6,2.56,0,71,0
07/06/2024,W02,6.3,54.9,26.73,14.03,4.56,2,127,1
08/06/2024,W02,7.7,47.1,26.73,17.15,3.44,0,95,1
09/06/2024,W02,9.4,48.7,26.73,20.94,2.08,0,57,0
10/06/2024,W02,9,48,26.73,20.05,2.4,0,66,0
11/06/2024,W02,9.7,41.2,26.73,21.61,1.84,0,51,0
12/06/2024,W02,8.5,42.3,26.73,18.93,2.8,0,78,0
13/06/2024,W02,10.7,39,26.73,23.83,1.04,1,29,0
14/06/2024,W02,11.1,54.2,26.73,24.73,0.72,2,20,0
15/06/2024,W02,14.1,54.8,26.73,31.41,0,1,0,0
16/06/2024,W02,11.8,43.8,26.73,26.28,0.16,0,4,0
17/06/2024,W02,10.7,39.6,26.73,23.83,1.04,0,29,0
18/06/2024,W02,10.1,57,26.73,22.5,1.52,0,42,0
19/06/2024,W02,9.7,54.1,26.73,21.61,1.84,0,51,0
20/06/2024,W02,11.6,46.5,26.73,25.84,0.32,0,8,0
21/06/2024,W02,8.8,52.8,26.73,19.6,2.56,0,71,0
22/06/2024,W02,10.4,52.9,26.73,23.17,1.28,0,35,0
23/06/2024,W02,11,52.1,26.73,24.5,0.8,1,22,0
24/06/2024,W02,8.5,58.2,26.73,18.93,2.8,0,78,0
25/06/2024,W02,10.8,48.5,26.73,24.06,0.96,0,26,0
26/06/2024,W02,9.9,45.8,26.73,22.05,1.68,1,46,0
27/06/2024,W02,10.1,43.1,26.73,22.5,1.52,0,42,0
28/06/2024,W02,11.1,57.8,26.73,24.73,0.72,1,20,0
01/01/2024,W03,9.1,34.8,12.02,9.12,2.32,0,29,0
02/01/2024,W03,10.3,37,12.02,10.32,1.36,5,16,0
03/01/2024,W03,9.8,32,12.02,9.82,1.76,1,21,0
04/01/2024,W03,8.8,35.4,12.02,8.81,2.56,4,32,0
05/01/2024,W03,7.7,33.6,12.02,7.71,3.44,2,43,1
06/01/2024,W03,7.4,29,12.02,7.41,3.68,0,46,1
07/01/2024,W03,10.4,29.8,12.02,10.42,1.28,2,15,0
08/01/2024,W03,9.1,43.5,12.02,9.12,2.32,2,29,0
09/01/2024,W03,10.2,26.5,12.02,10.22,1.44,3,17,0
10/01/2024,W03,5.5,36.8,12.02,5.51,5.2,1,65,1
11/01/2024,W03,8.2,38.1,12.02,8.21,3.04,2,38,1
12/01/2024,W03,10.3,39,12.02,10.32,1.36,2,16,0
13/01/2024,W03,9,33,12.02,9.01,2.4,0,30,0
14/01/2024,W03,6.1,43.7,12.02,6.11,4.72,1,59,1
15/01/2024,W03,11.1,37.2,12.02,11.12,0.72,0,9,0
16/01/2024,W03,7.8,35.6,12.02,7.81,3.36,2,42,1
17/01/2024,W03,7.8,35.5,12.02,7.81,3.36,0,42,1
18/01/2024,W03,8.5,34.2,12.02,8.51,2.8,1,35,0
19/01/2024,W03,6.9,30.8,12.02,6.91,4.08,2,51,1
20/01/2024,W03,8.5,40.1,12.02,8.51,2.8,1,35,0
21/01/2024,W03,9.2,20.7,12.02,9.22,2.24,3,27,0
22/01/2024,W03,7.4,30,12.02,7.41,3.68,1,46,1
23/01/2024,W03,5.9,34.1,12.02,5.91,4.88,0,61,1
24/01/2024,W03,7.8,29,12.02,7.81,3.36,1,42,1
25/01/2024,W03,8.8,40,12.02,8.81,2.56,3,32,0
26/01/2024,W03,6.5,41,12.02,6.51,4.4,1,55,1
27/01/2024,W03,9.7,30.1,12.02,9.72,1.84,0,22,0
28/01/2024,W03,8,34.7,12.02,8.01,3.2,1,40,1
29/01/2024,W03,6.3,37.4,12.02,6.31,4.56,3,57,1
30/01/2024,W03,9,38.8,12.02,9.01,2.4,1,30,0
31/01/2024,W03,7.8,35.6,12.02,7.81,3.36,0,42,1
01/02/2024,W03,9.5,29.8,12.02,9.52,2,2,25,0
02/02/2024,W03,9.9,43.1,12.02,9.92,1.68,2,20,0
