date,ward_id,population,pipe_age_years,supply_hours,pressure,demand,supply,complaints,pipe_breaks,tanker,scarcity,supply_hours_7day_avg,complaints_7day_avg,pipe_breaks_7day_avg,demand_supply_gap,supply_ratio
14/03/2024,W01,142000,28,9.9,30.9,18.44,15.21,1.84,1,34,0,8.6,3.602857143,0.285714286,3.23,0.82483731
15/03/2024,W01,142000,28,8.1,43.6,18.39,12.41,3.98,0,60,1,8.371428571,3.535714286,0.142857143,5.98,0.674823274
16/03/2024,W01,142000,28,8.1,34.8,19.45,13.13,5.28,1,64,1,8.4,3.811428571,0.285714286,6.32,0.675064267
17/03/2024,W01,142000,28,4.8,42.7,19.43,7.77,6.04,1,116,1,7.728571429,4.38,0.428571429,11.66,0.399897066
18/03/2024,W01,142000,28,8.5,35.7,17.54,12.42,3.44,0,52,0,7.514285714,4.547142857,0.428571429,5.12,0.708095781
19/03/2024,W01,142000,28,6.4,50.9,18.15,9.68,4.93,2,84,1,7.571428571,4.34,0.714285714,8.47,0.533333333
20/03/2024,W01,142000,28,9.3,40.4,17.47,13.54,2.34,0,40,0,7.871428571,3.978571429,0.714285714,3.93,0.775042931
21/03/2024,W01,142000,28,9.6,37.3,20.98,16.78,4.61,0,42,0,7.828571429,4.374285714,0.571428571,4.2,0.799809342
22/03/2024,W01,142000,28,10.5,42.6,18.97,16.6,1.79,0,25,0,8.171428571,4.061428571,0.571428571,2.37,0.875065894
23/03/2024,W01,142000,28,7.1,40.7,20.58,12.18,4.2,0,83,1,8.028571429,3.907142857,0.428571429,8.4,0.591836735
24/03/2024,W01,142000,28,7.6,39.6,19.62,12.43,5.36,2,72,1,8.428571429,3.81,0.571428571,7.19,0.633537207
25/03/2024,W01,142000,28,8.6,37.6,20.08,14.39,4.62,2,56,0,8.442857143,3.978571429,0.857142857,5.69,0.716633466
26/03/2024,W01,142000,28,8.2,31.4,19.63,13.41,3.11,0,63,1,8.7,3.718571429,0.571428571,6.22,0.683138054
27/03/2024,W01,142000,28,7.1,37.8,19.3,11.42,4.03,1,80,1,8.385714286,3.96,0.714285714,7.88,0.591709845
28/03/2024,W01,142000,28,10.7,43,19.13,17.06,2.27,0,22,0,8.542857143,3.625714286,0.714285714,2.07,0.891792995
29/03/2024,W01,142000,28,10.2,37.1,20.97,17.82,2.19,0,33,0,8.5,3.682857143,0.714285714,3.15,0.849785408
30/03/2024,W01,142000,28,8.9,41.8,18.75,13.91,3.68,1,48,0,8.757142857,3.608571429,0.857142857,4.84,0.741866667
31/03/2024,W01,142000,28,9.6,40.4,20.64,16.51,2.07,1,41,0,9.042857143,3.138571429,0.714285714,4.13,0.799903101
01/04/2024,W01,142000,28,9.5,43.1,17.94,14.2,2.21,1,39,0,9.171428571,2.794285714,0.571428571,3.74,0.791527313
02/04/2024,W01,142000,28,7.4,34,18.31,11.29,4.48,1,72,1,9.057142857,2.99,0.714285714,7.02,0.616602949
03/04/2024,W01,142000,28,8.6,39,19.47,13.95,2.78,0,56,0,9.271428571,2.811428571,0.571428571,5.52,0.716486903
04/04/2024,W01,142000,28,10.5,35.3,19.88,17.39,1.92,0,25,0,9.242857143,2.761428571,0.571428571,2.49,0.874748491
05/04/2024,W01,142000,28,9.7,40.3,20.56,16.62,2.16,2,41,0,9.171428571,2.757142857,0.857142857,3.94,0.808365759
06/04/2024,W01,142000,28,10.1,37.5,18.12,15.25,1.68,1,29,0,9.342857143,2.471428571,0.857142857,2.87,0.841611479
07/04/2024,W01,142000,28,8.2,35.6,18.32,12.52,3.19,0,60,1,9.142857143,2.631428571,0.714285714,5.8,0.683406114
08/04/2024,W01,142000,28,9.7,30.8,20.49,16.56,6.07,1,41,0,9.171428571,3.182857143,0.714285714,3.93,0.808199122
09/04/2024,W01,142000,28,7.2,49.4,20.1,12.06,4.35,0,82,1,9.142857143,3.164285714,0.571428571,8.04,0.6
10/04/2024,W01,142000,28,9.9,48.3,17.89,14.76,2.09,4,33,0,9.328571429,3.065714286,1.142857143,3.13,0.825041923
11/04/2024,W01,142000,28,9.1,42.7,19.41,14.72,5.59,2,47,0,9.128571429,3.59,1.428571429,4.69,0.758371973
12/04/2024,W01,142000,28,8.7,36.3,20.74,15.04,3.28,0,56,0,8.985714286,3.75,1.142857143,5.7,0.725168756
13/04/2024,W01,142000,28,9,39.1,20.83,15.62,2.93,2,53,0,8.828571429,3.928571429,1.285714286,5.21,0.749879981
14/04/2024,W01,142000,28,9.8,44.6,20.27,16.55,2.13,1,37,0,9.057142857,3.777142857,1.428571429,3.72,0.816477553
15/04/2024,W01,142000,28,8.7,45.2,18.81,13.64,2.87,1,51,0,8.914285714,3.32,1.428571429,5.17,0.725146199
16/04/2024,W01,142000,28,10.6,45.6,20.44,18.06,3.4,1,23,0,9.4,3.184285714,1.571428571,2.38,0.883561644
17/04/2024,W01,142000,28,7.7,41,17.79,11.42,4.74,2,64,1,9.085714286,3.562857143,1.285714286,6.37,0.641933671
18/04/2024,W01,142000,28,7.2,33.7,17.88,10.73,4.06,2,72,1,8.814285714,3.344285714,1.285714286,7.15,0.600111857
19/04/2024,W01,142000,28,9.8,36.3,17.97,14.68,3.31,0,32,0,8.971428571,3.348571429,1.285714286,3.29,0.816917084
20/04/2024,W01,142000,28,10.3,39.8,19.44,16.69,1.4,1,28,0,9.157142857,3.13,1.142857143,2.75,0.858539095
21/04/2024,W01,142000,28,8.5,38.8,20.13,14.26,3.41,2,58,0,8.971428571,3.312857143,1.285714286,5.87,0.70839543
22/04/2024,W01,142000,28,8.2,35,18.89,12.91,3.21,1,61,1,8.9,3.361428571,1.285714286,5.98,0.683430386
23/04/2024,W01,142000,28,10.1,42,18.57,15.63,2.08,3,29,0,8.828571429,3.172857143,1.571428571,2.94,0.841680129
24/04/2024,W01,142000,28,9.9,41.4,18.77,15.49,1.81,2,32,0,9.142857143,2.754285714,1.571428571,3.28,0.825253063
25/04/2024,W01,142000,28,7.9,46.2,18.51,12.19,4.1,0,63,1,9.242857143,2.76,1.285714286,6.32,0.658562939
26/04/2024,W01,142000,28,8.8,57.1,17.46,12.8,3.69,1,46,0,9.1,2.814285714,1.428571429,4.66,0.733104238
27/04/2024,W01,142000,28,11.7,36.6,19.99,19.49,2.37,0,6,0,9.3,2.952857143,1.285714286,0.5,0.974987494
28/04/2024,W01,142000,28,10.1,40.1,20.46,17.22,2.24,1,33,0,9.528571429,2.785714286,1.142857143,3.24,0.841642229
29/04/2024,W01,142000,28,7.1,37,17.82,10.54,4.29,1,74,1,9.371428571,2.94,1.142857143,7.28,0.591470258
30/04/2024,W01,142000,28,10.1,41.2,20.88,17.57,1.57,0,34,0,9.371428571,2.867142857,0.714285714,3.31,0.841475096
01/05/2024,W01,142000,28,8.4,43.2,17.7,12.39,3.5,3,55,0,9.157142857,3.108571429,0.857142857,5.31,0.7
02/05/2024,W01,142000,28,7.2,33,17.27,10.36,6.27,1,71,1,9.057142857,3.418571429,1,6.91,0.599884192
03/05/2024,W01,142000,28,10.4,46.6,19.72,17.09,1.75,1,26,0,9.285714286,3.141428571,1,2.63,0.86663286
04/05/2024,W01,142000,28,9.5,44,20.3,16.07,3.5,1,43,0,8.971428571,3.302857143,1.142857143,4.23,0.791625616
05/05/2024,W01,142000,28,8.7,44.9,20.64,14.96,3.92,3,57,0,8.771428571,3.542857143,1.428571429,5.68,0.724806202
06/05/2024,W01,142000,28,8.6,32.7,20.27,14.53,3.23,1,59,0,8.985714286,3.391428571,1.428571429,5.74,0.716822891
07/05/2024,W01,142000,28,6.6,37.6,20.06,11.03,7.6,2,90,1,8.485714286,4.252857143,1.714285714,9.03,0.549850449
08/05/2024,W01,142000,28,6.2,41.5,18.74,9.68,5.19,0,92,1,8.171428571,4.494285714,1.285714286,9.06,0.516542156
09/05/2024,W01,142000,28,6.9,34.2,18.14,10.43,5.89,2,77,1,8.128571429,4.44,1.428571429,7.71,0.574972437
10/05/2024,W01,142000,28,9.7,43.6,17.91,14.48,3.7,2,36,0,8.028571429,4.718571429,1.571428571,3.43,0.808486879
11/05/2024,W01,142000,28,5.5,46.1,17.41,7.98,7.15,0,94,1,7.457142857,5.24,1.428571429,9.43,0.458357266
12/05/2024,W01,142000,28,9.5,47,18.32,14.5,3.44,2,40,0,7.571428571,5.171428571,1.285714286,3.82,0.791484716
13/05/2024,W01,142000,28,8.8,40.3,19.76,14.49,3.43,2,53,0,7.6,5.2,1.428571429,5.27,0.733299595
14/05/2024,W01,142000,28,8.8,33.3,18.81,13.79,4.05,1,52,0,7.914285714,4.692857143,1.285714286,5.02,0.73312068
15/05/2024,W01,142000,28,9.1,31.7,18.96,14.38,3.37,4,45,0,8.328571429,4.432857143,1.857142857,4.58,0.758438819
16/05/2024,W01,142000,28,9.8,43.9,20.69,16.9,1.81,0,39,0,8.742857143,3.85,1.571428571,3.79,0.81681972
17/05/2024,W01,142000,28,8.7,31.5,19.5,14.14,3.65,2,54,0,8.6,3.842857143,1.571428571,5.36,0.725128205
18/05/2024,W01,142000,28,11.3,39.8,20.85,19.63,0.92,1,14,0,9.428571429,2.952857143,1.714285714,1.22,0.941486811
19/05/2024,W01,142000,28,9.8,37.9,20.84,17.02,1.96,2,39,0,9.471428571,2.741428571,1.714285714,3.82,0.816698656
20/05/2024,W01,142000,28,6.9,26.6,17.58,10.11,4.69,1,76,1,9.2,2.921428571,1.571428571,7.47,0.575085324
21/05/2024,W01,142000,28,8.1,35.5,18.09,12.21,4.38,1,60,1,9.1,2.968571429,1.571428571,5.88,0.674958541
22/05/2024,W01,142000,28,10.6,32.8,19.41,17.15,2.25,1,22,0,9.314285714,2.808571429,1.142857143,2.26,0.883565173
23/05/2024,W01,142000,28,7.3,42.7,20.49,12.46,4.2,0,82,1,8.957142857,3.15,1.142857143,8.03,0.608101513
24/05/2024,W01,142000,28,10.3,43.8,18.45,15.84,1.78,1,26,0,9.185714286,2.882857143,1,2.61,0.858536585
25/05/2024,W01,142000,28,8.5,42,19.62,13.9,2.93,4,59,0,8.785714286,3.17,1.428571429,5.72,0.708460754
26/05/2024,W01,142000,28,9.1,41.6,20.09,15.23,3.19,0,48,0,8.685714286,3.345714286,1.142857143,4.86,0.758088601
27/05/2024,W01,142000,28,8.4,40.2,18.74,13.12,4.85,0,58,0,8.9,3.368571429,1,5.62,0.700106724
28/05/2024,W01,142000,28,8.6,36.3,20.96,15.02,3.34,2,59,0,8.971428571,3.22,1.142857143,5.94,0.716603053
29/05/2024,W01,142000,28,6.8,36.7,20.64,11.7,5.66,1,90,1,8.428571429,3.707142857,1.142857143,8.94,0.566860465
30/05/2024,W01,142000,28,8.2,42.2,17.86,12.2,3.67,0,57,1,8.557142857,3.631428571,1.142857143,5.66,0.683090705
31/05/2024,W01,142000,28,9,44.8,18.36,13.77,2.44,0,46,0,8.371428571,3.725714286,1,4.59,0.75
01/06/2024,W01,142000,28,10.3,35,19.96,17.13,1.73,2,29,0,8.628571429,3.554285714,0.714285714,2.83,0.858216433
02/06/2024,W01,142000,28,9.2,32.4,18.6,14.26,4.77,1,45,0,8.642857143,3.78,0.857142857,4.34,0.766666667
03/06/2024,W01,142000,28,9,36.6,17.69,13.27,2.46,3,45,0,8.728571429,3.438571429,1.285714286,4.42,0.750141323
04/06/2024,W01,142000,28,8.1,36.7,19.1,12.89,3.99,1,63,1,8.657142857,3.531428571,1.142857143,6.21,0.67486911
05/06/2024,W01,142000,28,8.8,40.7,19.59,14.37,3.68,0,53,0,8.942857143,3.248571429,1,5.22,0.733537519
06/06/2024,W01,142000,28,7.8,40.2,18.43,11.98,5.38,1,65,1,8.885714286,3.492857143,1.142857143,6.45,0.65002713
07/06/2024,W01,142000,28,6.6,34.5,20.36,11.2,5.55,1,92,1,8.542857143,3.937142857,1.285714286,9.16,0.550098232
08/06/2024,W01,142000,28,6.4,45.7,19.71,10.51,4.86,1,92,1,7.985714286,4.384285714,1.142857143,9.2,0.533231862
09/06/2024,W01,142000,28,8.1,36.8,18.28,12.34,3.13,2,60,1,7.828571429,4.15,1.285714286,5.94,0.675054705
10/06/2024,W01,142000,28,9.6,42.4,19.14,15.31,2.42,0,40,0,7.914285714,4.144285714,0.857142857,3.83,0.799895507
11/06/2024,W01,142000,28,7.5,42.2,18.47,11.54,4.94,1,69,1,7.828571429,4.28,0.857142857,6.93,0.624796968
12/06/2024,W01,142000,28,9.9,33.2,20.2,16.66,1.92,0,37,0,7.985714286,4.028571429,0.857142857,3.54,0.824752475
13/06/2024,W01,142000,28,9.1,37.3,20.66,15.67,2.88,1,51,0,8.171428571,3.671428571,0.857142857,4.99,0.758470474
14/06/2024,W01,142000,28,8.1,43.4,18.12,12.23,4.08,1,58,1,8.385714286,3.461428571,0.857142857,5.89,0.674944812
15/06/2024,W01,142000,28,9.7,42.2,20.16,16.3,2.16,0,38,0,8.857142857,3.075714286,0.714285714,3.86,0.808531746
16/06/2024,W01,142000,28,11,39.4,20.81,19.08,2.64,1,17,0,9.271428571,3.005714286,0.571428571,1.73,0.916866891
17/06/2024,W01,142000,28,10,41.7,19.75,16.46,2.98,0,34,0,9.328571429,3.085714286,0.571428571,3.29,0.833417722
18/06/2024,W01,142000,28,9.1,38.4,19.26,14.61,3.8,1,48,0,9.557142857,2.922857143,0.571428571,4.65,0.758566978
19/06/2024,W01,142000,28,9.4,43.7,20.22,15.84,2.6,3,44,0,9.485714286,3.02,1,4.38,0.783382789
20/06/2024,W01,142000,28,7.2,41.5,21,12.6,4.42,0,86,1,9.214285714,3.24,0.857142857,8.4,0.6
21/06/2024,W01,142000,28,7.1,31,19.32,11.43,4.28,1,79,1,9.071428571,3.268571429,0.857142857,7.89,0.591614907
22/06/2024,W01,142000,28,9.9,38.8,17.66,14.57,2.42,1,32,0,9.1,3.305714286,1,3.09,0.825028313
23/06/2024,W01,142000,28,11.8,36.7,18.12,17.82,0.42,1,4,0,9.214285714,2.988571429,1,0.3,0.983443709
24/06/2024,W01,142000,28,8.3,45.8,19.54,13.52,5.1,0,61,1,8.971428571,3.291428571,1,6.02,0.691914023
25/06/2024,W01,142000,28,9,36.9,20.63,15.47,3.6,0,51,0,8.957142857,3.262857143,0.857142857,5.16,0.749878817
26/06/2024,W01,142000,28,6.9,40.7,18.73,10.77,4.63,2,80,1,8.6,3.552857143,0.714285714,7.96,0.575013348
27/06/2024,W01,142000,28,9.5,43.1,20.69,16.38,2.32,0,45,0,8.928571429,3.252857143,0.714285714,4.31,0.791686805
28/06/2024,W01,142000,28,10.8,42.3,20.17,18.15,1.64,2,21,0,9.457142857,2.875714286,0.857142857,2.02,0.899851264
01/01/2024,W02,198000,12,10.9,62.7,28.16,25.58,1.63,1,27,0,10.9,1.63,1,2.58,0.908380682
02/01/2024,W02,198000,12,9.8,49.8,27.05,22.09,2.13,0,50,0,10.35,1.88,0.5,4.96,0.81663586
03/01/2024,W02,198000,12,11.7,51.2,27.76,27.07,0.41,2,7,0,10.8,1.39,1,0.69,0.975144092
04/01/2024,W02,198000,12,11.4,54,28.75,27.31,0.57,0,14,0,10.95,1.185,0.75,1.44,0.949913043
05/01/2024,W02,198000,12,9,51.8,25.25,18.94,3.7,1,63,0,10.56,1.688,0.8,6.31,0.75009901
06/01/2024,W02,198000,12,7.6,50.6,25.77,16.32,5.13,1,95,1,10.06666667,2.261666667,0.833333333,9.45,0.633294529
07/01/2024,W02,198000,12,12.7,55.1,27.81,29.43,0.48,1,0,0,10.44285714,2.007142857,0.857142857,-1.62,1.058252427
08/01/2024,W02,198000,12,12.9,48.6,24.46,26.29,0,0,0,0,10.72857143,1.774285714,0.714285714,-1.83,1.074816026
09/01/2024,W02,198000,12,10.8,45.6,26.27,23.64,3.6,1,28,0,10.87142857,1.984285714,0.857142857,2.63,0.899885801
10/01/2024,W02,198000,12,12,54.1,25.12,25.12,1.96,0,2,0,10.91428571,2.205714286,0.571428571,0,1
11/01/2024,W02,198000,12,11.4,56.6,28.44,27.02,1.61,0,15,0,10.91428571,2.354285714,0.571428571,1.42,0.950070323
12/01/2024,W02,198000,12,12.6,44.3,26.92,28.27,2.47,0,0,0,11.42857143,2.178571429,0.428571429,-1.35,1.050148588
13/01/2024,W02,198000,12,11.3,47.8,28.68,27.01,7.58,1,17,0,11.95714286,2.528571429,0.428571429,1.67,0.941771269
14/01/2024,W02,198000,12,9.4,44.5,24.3,19.04,3.39,0,53,0,11.48571429,2.944285714,0.285714286,5.26,0.783539095
15/01/2024,W02,198000,12,9.9,44,28.46,23.48,1.74,0,51,0,11.05714286,3.192857143,0.285714286,4.98,0.825017569
16/01/2024,W02,198000,12,12.5,44,27.91,29.07,0.63,0,0,0,11.3,2.768571429,0.142857143,-1.16,1.041562164
17/01/2024,W02,198000,12,10.9,49.7,27.37,24.86,3.25,1,27,0,11.14285714,2.952857143,0.285714286,2.51,0.908293752
18/01/2024,W02,198000,12,10.8,47.8,25.53,22.98,2.73,0,27,0,11.05714286,3.112857143,0.285714286,2.55,0.900117509
19/01/2024,W02,198000,12,11,43.6,29.23,26.79,1.37,0,24,0,10.82857143,2.955714286,0.285714286,2.44,0.916524119
20/01/2024,W02,198000,12,11.5,45.1,27.25,26.11,0.45,1,12,0,10.85714286,1.937142857,0.285714286,1.14,0.958165138
21/01/2024,W02,198000,12,11.2,52.2,29.27,27.32,1.54,1,19,0,11.11428571,1.672857143,0.428571429,1.95,0.933378886
22/01/2024,W02,198000,12,10.9,51.7,24.14,21.93,2.25,0,22,0,11.25714286,1.745714286,0.428571429,2.21,0.908450704
23/01/2024,W02,198000,12,11.5,56.9,26.1,25.01,1.21,0,12,0,11.11428571,1.828571429,0.428571429,1.09,0.958237548
24/01/2024,W02,198000,12,12,47.5,26.27,26.27,1.24,2,0,0,11.27142857,1.541428571,0.571428571,0,1
25/01/2024,W02,198000,12,8.6,51.8,28.3,20.28,3.51,0,81,0,10.95714286,1.652857143,0.571428571,8.02,0.716607774
